,open,high,low,close,volume
2025-02-11,132.5800,134.4800,131.0200,132.8000,178902379
2025-02-12,130.0200,132.2400,129.0800,131.1400,160278552
2025-02-13,131.5550,136.5000,131.1700,135.2900,197429975
2025-02-14,136.4800,139.2500,135.5000,138.8500,195479557
2025-02-18,141.2700,143.4400,137.9250,139.4000,219176627
2025-02-19,139.5100,141.3600,137.2200,139.2300,167536006
2025-02-20,140.0300,140.6600,136.7901,140.1100,143903583
2025-02-21,140.0400,141.4600,134.0300,134.4300,228217585
2025-02-24,136.5600,138.5900,130.0800,130.2800,251381137
2025-02-25,129.9800,130.2000,124.4400,126.6300,271428711
2025-02-26,129.9850,133.7300,128.4900,131.2800,322553814
2025-02-27,135.0000,135.0100,120.0100,120.1500,443175846
2025-02-28,118.0200,125.0900,116.4000,124.9200,389091145
2025-03-03,123.5100,123.7000,112.2800,114.0600,411381373
2025-03-04,110.6450,119.3100,110.1100,115.9900,398163305
2025-03-05,117.5800,118.2781,114.5100,117.3000,284337886
2025-03-06,113.5300,115.3500,110.2200,110.5700,321181861
2025-03-07,111.2500,113.4800,107.5600,112.6900,341755468
2025-03-10,109.9000,111.8500,105.4600,106.9800,361107562
2025-03-11,106.9900,112.2360,104.7700,108.7600,354865692
2025-03-12,114.1200,116.7600,112.8800,115.7400,323857454
2025-03-13,117.0300,117.7600,113.7900,115.5800,299033131
2025-03-14,118.6100,121.8800,118.1500,121.6700,277593455
2025-03-17,122.7400,122.8900,118.0300,119.5300,255501481
2025-03-18,118.0000,119.0200,114.5400,115.4300,299686944
2025-03-19,117.2700,120.4450,115.6800,117.5200,273426225
2025-03-20,116.5500,120.2000,116.4700,118.5300,248829749
2025-03-21,116.9400,117.9900,115.4200,117.7000,266498528
2025-03-24,119.8800,122.2200,119.3400,121.4100,228452534
2025-03-25,120.5450,121.2900,118.9200,120.6900,167447198
2025-03-26,118.7300,118.8400,112.7100,113.7600,296431667
2025-03-27,111.3500,114.4500,110.6600,111.4300,236902055
2025-03-28,111.4850,112.8700,109.0701,109.6700,229872549
2025-03-31,105.1300,110.9550,103.6500,108.3800,299212653
2025-04-01,108.5150,110.2000,106.4700,110.1500,222614034
2025-04-02,107.2900,111.9800,106.7900,110.4200,220601243
2025-04-03,103.5100,105.6300,101.6000,101.8000,338769412
2025-04-04,98.9100,100.1300,92.1100,94.3100,532273810
2025-04-07,87.4600,101.7500,86.6200,97.6400,611041347
2025-04-08,103.8050,105.8500,94.4600,96.3000,476243392
2025-04-09,98.8900,115.1000,97.5301,114.3300,612918336
2025-04-10,109.3700,110.8600,99.1500,107.5700,437812353
2025-04-11,108.5000,111.5499,107.4800,110.9300,313417265
2025-04-14,114.1100,114.2900,109.0700,110.7100,264705049
2025-04-15,110.9700,113.6150,110.5000,112.2000,228966900
2025-04-16,104.5500,106.7900,100.4500,104.4900,397016870
2025-04-17,104.4500,104.4700,100.0500,101.4900,292517465
2025-04-21,98.7700,99.4400,95.0400,96.9100,288501136
2025-04-22,98.7800,99.8110,97.2800,98.8900,241004784
2025-04-23,104.5200,104.8000,102.0200,102.7100,247525971
2025-04-24,103.4750,106.5400,103.1100,106.4300,220815041
2025-04-25,106.8500,111.9200,105.7300,111.0100,251064672
2025-04-28,109.6900,110.3699,106.0200,108.7300,207708479
2025-04-29,107.6700,110.1999,107.4400,109.0200,170444263
2025-04-30,104.4700,108.9200,104.0800,108.9200,235044611
2025-05-01,113.0800,114.9400,111.3000,111.6100,236121507
2025-05-02,114.1800,115.4000,113.3700,114.5000,190194778
2025-05-05,112.9050,114.6650,112.6600,113.8200,133163241
2025-05-06,111.4800,114.7400,110.8220,113.5400,158525621
2025-05-07,113.0450,117.6800,112.2818,117.0600,207827821
2025-05-08,118.2500,118.6800,115.8500,117.3700,198428122
2025-05-09,117.3500,118.2300,115.2100,116.6500,132972189
2025-05-12,121.9700,123.0000,120.2800,123.0000,225023345
2025-05-13,124.9800,131.2189,124.4700,129.9300,330430105
2025-05-14,133.1950,135.4350,131.6800,135.3400,281180830
2025-05-15,134.2950,136.3000,132.6600,134.8300,226632563
2025-05-16,136.2200,136.3500,133.4600,135.4000,226542451
2025-05-19,132.3900,135.8700,132.3900,135.5700,193154571
2025-05-20,134.2900,134.5800,132.6200,134.3800,161514247
2025-05-21,133.0600,137.4000,130.5900,131.8000,270608738
2025-05-22,132.2300,134.2500,131.5500,132.8300,187343954
2025-05-23,130.0000,132.6800,129.1600,131.2900,198821324
2025-05-27,134.1500,135.6600,133.3100,135.5000,192953613
2025-05-28,136.0250,137.2500,134.7900,134.8100,304021146
2025-05-29,142.2450,143.4900,137.9100,139.1900,370615167
2025-05-30,138.7150,139.6200,132.9200,135.1300,333170851
